               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.081163,            0.030013,            0.060262,             0.16859,            0.056643,            0.017334,            0.004818,             0.12347,             0.16591,             0.10269,              0.0847,              0.0017,              0.0017
                   1,            0.067898,            0.034732,            0.052249,          0.00015022,            0.022597,          9.0791e-05,            3.18e-05,                 nan,                 nan,              1.0203,            0.068469,           0.0034685,           0.0034685
                   2,             0.06714,            0.031706,            0.052392,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.052205,           0.0052046,           0.0052046
                   3,            0.062163,            0.033224,            0.047822,             0.46223,             0.13269,          0.00060536,          0.00020402,                 nan,                 nan,               1.206,            0.035908,           0.0069083,           0.0069083
                   4,            0.061673,            0.032279,            0.049709,             0.46189,            0.076923,           0.0020333,           0.0007877,             0.13321,              11.278,             0.30867,             0.01958,           0.0085796,           0.0085796
                   5,            0.060873,            0.030742,             0.04589,             0.38521,            0.085315,          0.00082066,          0.00027071,             0.12266,              9.5231,             0.31446,             0.00955,             0.00955,             0.00955
                   6,            0.061323,            0.031602,            0.047801,             0.53929,              0.1049,           0.0081225,           0.0037466,             0.13071,              3.9521,              0.3903,             0.00955,             0.00955,             0.00955
                   7,            0.060559,            0.035653,            0.044868,          0.00065877,            0.088811,          0.00061443,          0.00020003,             0.12614,              10.079,             0.50274,             0.00946,             0.00946,             0.00946
                   8,            0.059728,            0.030322,            0.043817,            0.093747,           0.0038462,           0.0030417,          0.00043752,             0.11223,             0.47803,            0.053759,             0.00937,             0.00937,             0.00937
                   9,            0.055925,            0.032271,            0.042514,          0.00066411,            0.070094,          0.00055123,          0.00014018,            0.089893,             0.17522,            0.067924,             0.00928,             0.00928,             0.00928
                  10,            0.055448,            0.029477,            0.042578,             0.77802,            0.042308,             0.01114,           0.0032047,               0.083,            0.091958,            0.071878,             0.00919,             0.00919,             0.00919
                  11,            0.056409,            0.032469,             0.04219,             0.85702,            0.026923,            0.024427,            0.011671,            0.085093,            0.045395,            0.099897,              0.0091,              0.0091,              0.0091
                  12,            0.054578,            0.033162,             0.04201,             0.72138,            0.026923,            0.022129,           0.0084186,            0.099391,            0.054756,             0.10313,             0.00901,             0.00901,             0.00901
                  13,            0.054485,            0.031463,            0.041192,             0.61256,            0.045455,             0.04481,            0.018302,            0.073034,               0.052,            0.072476,             0.00892,             0.00892,             0.00892
                  14,            0.054331,             0.03059,            0.040678,             0.82111,            0.063694,            0.067801,            0.024047,            0.083102,            0.031785,            0.054297,             0.00883,             0.00883,             0.00883
                  15,            0.054576,            0.029281,             0.04014,             0.97043,            0.038462,            0.061479,            0.022242,            0.096785,            0.035823,            0.065404,             0.00874,             0.00874,             0.00874
                  16,            0.055458,             0.03021,            0.038739,             0.96671,            0.050419,            0.056292,            0.017356,            0.081803,            0.029623,            0.062357,             0.00865,             0.00865,             0.00865
                  17,            0.054735,            0.030109,            0.039371,             0.61678,            0.056579,            0.054727,            0.019858,            0.071965,            0.024782,             0.04884,             0.00856,             0.00856,             0.00856
                  18,            0.056784,            0.030602,            0.038712,             0.96794,            0.030769,            0.041158,            0.014051,            0.084194,             0.01787,            0.071346,             0.00847,             0.00847,             0.00847
                  19,            0.057089,            0.029253,             0.04252,             0.97724,            0.038462,            0.043781,             0.01617,              0.0911,            0.026477,            0.075341,             0.00838,             0.00838,             0.00838
                  20,            0.052918,            0.029206,            0.037723,             0.50268,            0.035102,            0.020743,           0.0059324,            0.066353,            0.020036,            0.054411,             0.00829,             0.00829,             0.00829
                  21,            0.053667,            0.029684,            0.036604,             0.80944,             0.06753,            0.062272,            0.029574,            0.098665,            0.016417,            0.071818,              0.0082,              0.0082,              0.0082
                  22,            0.054764,            0.030964,            0.036673,             0.85888,            0.084805,            0.080541,            0.031551,            0.068837,            0.020488,            0.053941,             0.00811,             0.00811,             0.00811
                  23,            0.051653,            0.028876,            0.033905,             0.95824,            0.046154,            0.053201,            0.018087,            0.070624,            0.021143,            0.059055,             0.00802,             0.00802,             0.00802
                  24,            0.054615,            0.029476,            0.034196,             0.50691,            0.040183,            0.019392,           0.0052412,            0.085607,            0.018689,             0.06893,             0.00793,             0.00793,             0.00793
                  25,            0.053881,            0.030814,             0.03561,             0.52121,            0.096453,            0.066681,            0.019417,            0.068877,            0.023044,            0.052705,             0.00784,             0.00784,             0.00784
                  26,            0.051487,            0.029499,            0.035175,             0.56516,            0.090145,            0.018607,           0.0076707,            0.094449,            0.019437,            0.061767,             0.00775,             0.00775,             0.00775
                  27,            0.052733,            0.031549,            0.034752,             0.72615,            0.066613,             0.07105,            0.028893,            0.072806,             0.01826,            0.057998,             0.00766,             0.00766,             0.00766
                  28,            0.051545,            0.029636,            0.034084,             0.71397,            0.092379,            0.082859,             0.02782,             0.06863,            0.019125,             0.04617,             0.00757,             0.00757,             0.00757
                  29,            0.050192,            0.027958,            0.028586,             0.59013,             0.10257,             0.07421,            0.028811,            0.064315,            0.022779,            0.045382,             0.00748,             0.00748,             0.00748
                  30,            0.050851,            0.029195,            0.030746,             0.73026,            0.087859,            0.063061,            0.021376,            0.069724,            0.017927,            0.040619,             0.00739,             0.00739,             0.00739
                  31,            0.052855,            0.029987,            0.031348,             0.66686,            0.097355,             0.10816,            0.045998,            0.069419,            0.018071,            0.040474,              0.0073,              0.0073,              0.0073
                  32,            0.049977,            0.029071,            0.035938,             0.55583,             0.10385,            0.087836,            0.036188,            0.062492,            0.018131,            0.041049,             0.00721,             0.00721,             0.00721
                  33,            0.051126,            0.027954,            0.030841,             0.55221,            0.087847,            0.096048,            0.044145,            0.062476,            0.017148,            0.054491,             0.00712,             0.00712,             0.00712
                  34,            0.053385,            0.028371,            0.028936,             0.69803,            0.045552,            0.030812,           0.0092722,             0.06784,            0.020869,            0.058452,             0.00703,             0.00703,             0.00703
                  35,            0.051273,            0.030091,             0.03052,             0.81822,            0.077739,            0.096998,             0.03565,            0.071907,             0.01722,            0.051556,             0.00694,             0.00694,             0.00694
                  36,            0.051328,            0.031458,            0.028381,             0.62633,            0.093269,            0.054601,            0.019657,            0.071441,            0.017467,            0.042974,             0.00685,             0.00685,             0.00685
                  37,            0.052215,            0.029359,            0.030302,             0.49652,             0.12263,            0.082992,            0.029526,            0.061809,             0.01937,            0.061098,             0.00676,             0.00676,             0.00676
                  38,            0.050461,            0.027502,            0.028807,             0.63479,             0.10309,             0.12097,            0.044968,             0.06024,            0.018205,            0.042045,             0.00667,             0.00667,             0.00667
                  39,            0.049386,            0.028662,            0.027074,             0.59874,             0.05738,            0.055977,             0.01861,            0.072182,            0.017721,            0.047194,             0.00658,             0.00658,             0.00658
                  40,            0.049458,            0.027428,            0.026504,             0.50887,            0.077888,             0.08402,             0.03938,            0.071115,            0.017103,             0.04771,             0.00649,             0.00649,             0.00649
                  41,             0.05001,              0.0302,            0.029003,             0.70605,             0.11325,             0.11908,            0.048563,            0.061416,             0.01765,            0.039422,              0.0064,              0.0064,              0.0064
                  42,            0.047879,            0.030131,             0.02573,             0.46358,             0.13009,              0.1136,            0.051345,            0.060507,            0.020397,             0.04016,             0.00631,             0.00631,             0.00631
                  43,            0.049528,            0.029209,            0.025462,             0.67596,             0.11052,             0.11162,            0.047287,            0.066477,            0.017981,            0.045278,             0.00622,             0.00622,             0.00622
                  44,            0.049548,            0.028281,            0.025078,             0.56479,              0.1539,             0.15684,            0.074998,            0.066164,            0.018175,            0.048505,             0.00613,             0.00613,             0.00613
                  45,            0.049098,            0.029039,            0.028816,             0.48671,             0.13727,             0.16855,            0.073657,            0.067266,            0.017012,            0.048237,             0.00604,             0.00604,             0.00604
                  46,            0.048794,            0.027396,            0.025248,             0.62385,             0.11921,             0.10611,            0.045423,            0.066398,            0.019575,            0.043951,             0.00595,             0.00595,             0.00595
                  47,            0.049605,            0.028686,             0.02443,             0.35668,             0.17446,             0.13245,            0.057844,            0.064308,            0.017731,            0.040574,             0.00586,             0.00586,             0.00586
                  48,            0.045837,            0.026744,            0.026143,             0.74342,            0.093272,            0.087897,            0.034731,             0.06507,            0.019106,            0.040089,             0.00577,             0.00577,             0.00577
                  49,            0.047418,            0.028108,            0.027567,             0.36228,             0.10486,            0.095335,            0.037482,            0.061155,            0.020025,            0.051122,             0.00568,             0.00568,             0.00568
                  50,            0.047465,            0.029458,            0.026183,             0.54508,             0.12529,             0.12848,            0.052978,            0.065626,            0.016359,            0.048322,             0.00559,             0.00559,             0.00559
                  51,            0.048978,            0.027472,            0.023512,             0.48693,             0.16848,             0.14389,            0.061648,            0.061736,            0.018331,             0.04273,              0.0055,              0.0055,              0.0055
                  52,              0.0465,            0.029323,            0.024469,             0.44651,            0.085218,            0.091932,            0.036186,             0.06614,            0.020396,            0.043179,             0.00541,             0.00541,             0.00541
                  53,            0.047461,            0.026132,            0.026419,             0.51851,             0.10374,             0.11825,             0.05529,            0.063526,            0.019691,            0.061763,             0.00532,             0.00532,             0.00532
                  54,            0.046915,            0.029362,            0.024928,             0.48449,               0.146,             0.14477,            0.065869,            0.069015,             0.01793,            0.043407,             0.00523,             0.00523,             0.00523
                  55,            0.048945,            0.027777,            0.023232,             0.60855,               0.173,             0.16532,            0.058897,            0.073457,            0.016381,            0.044978,             0.00514,             0.00514,             0.00514
                  56,            0.047966,            0.029427,            0.021296,             0.47144,             0.20863,             0.19037,             0.08027,            0.056918,            0.016604,            0.043215,             0.00505,             0.00505,             0.00505
                  57,            0.046875,            0.028338,            0.024199,             0.40478,             0.21743,             0.17172,             0.06235,              0.0651,            0.016297,            0.037579,             0.00496,             0.00496,             0.00496
                  58,             0.04713,            0.027908,            0.026657,              0.6804,             0.16508,             0.19796,            0.078693,            0.062373,            0.016771,            0.037944,             0.00487,             0.00487,             0.00487
                  59,            0.047069,            0.028231,            0.024171,             0.41544,             0.12986,             0.10326,            0.040104,            0.062018,            0.018349,            0.041782,             0.00478,             0.00478,             0.00478
                  60,            0.044861,             0.02661,            0.023846,             0.46535,             0.14377,             0.15528,            0.055831,            0.064515,            0.017458,            0.036226,             0.00469,             0.00469,             0.00469
                  61,            0.045312,            0.027514,            0.024338,             0.49469,             0.18437,             0.17733,            0.074244,            0.060298,            0.017009,            0.039186,              0.0046,              0.0046,              0.0046
                  62,            0.044407,            0.028563,            0.022699,             0.44538,             0.11449,               0.154,             0.05413,            0.064189,            0.019687,            0.040755,             0.00451,             0.00451,             0.00451
                  63,            0.044568,            0.029351,            0.021782,             0.60204,             0.17186,             0.18032,            0.071986,            0.060983,            0.019425,            0.043584,             0.00442,             0.00442,             0.00442
                  64,            0.046849,            0.026941,            0.020343,             0.57414,             0.17377,             0.14638,             0.06254,              0.0624,            0.018068,            0.054183,             0.00433,             0.00433,             0.00433
                  65,            0.043783,            0.026802,            0.020358,             0.47854,             0.16166,             0.13094,            0.052789,             0.06334,            0.019178,            0.049378,             0.00424,             0.00424,             0.00424
                  66,            0.046591,            0.026481,            0.020399,             0.45024,             0.11969,             0.12164,            0.050321,            0.064664,            0.019249,            0.059808,             0.00415,             0.00415,             0.00415
                  67,            0.045267,            0.029423,             0.02101,             0.55693,             0.17393,             0.20003,            0.085414,            0.063522,            0.016944,            0.036667,             0.00406,             0.00406,             0.00406
                  68,             0.04476,             0.02984,            0.022192,             0.58254,              0.1364,              0.1324,            0.047548,            0.067934,            0.016727,            0.066458,             0.00397,             0.00397,             0.00397
                  69,            0.045264,            0.027638,            0.021753,             0.52337,              0.1674,              0.1678,            0.064671,             0.06176,            0.016628,            0.051147,             0.00388,             0.00388,             0.00388
                  70,            0.047199,            0.028018,            0.020704,             0.57865,             0.20458,             0.21489,            0.089757,            0.059629,            0.018128,            0.035214,             0.00379,             0.00379,             0.00379
                  71,            0.043881,            0.028256,            0.023037,             0.54221,             0.21298,             0.20311,            0.080206,            0.056809,            0.017814,            0.042891,              0.0037,              0.0037,              0.0037
                  72,            0.042205,            0.027232,            0.025352,             0.63151,             0.20024,             0.23246,             0.10903,             0.06208,            0.016542,             0.03595,             0.00361,             0.00361,             0.00361
                  73,             0.04219,            0.026515,            0.019481,             0.49377,             0.20452,             0.22569,             0.10167,            0.058332,            0.016557,            0.034557,             0.00352,             0.00352,             0.00352
                  74,            0.044356,            0.027094,            0.018105,             0.60176,             0.20414,             0.20875,            0.084211,            0.056459,            0.017738,            0.037398,             0.00343,             0.00343,             0.00343
                  75,            0.042744,            0.026028,              0.0189,             0.41605,             0.23872,             0.20289,            0.063322,            0.060016,            0.016685,            0.035198,             0.00334,             0.00334,             0.00334
                  76,             0.04427,            0.026861,            0.023492,             0.47916,              0.2001,             0.21991,            0.076747,            0.060383,            0.018214,            0.035202,             0.00325,             0.00325,             0.00325
                  77,            0.042812,            0.026238,            0.020318,             0.57125,             0.19591,             0.21186,            0.090599,            0.058553,            0.019765,            0.039696,             0.00316,             0.00316,             0.00316
                  78,            0.043784,            0.029851,            0.019315,             0.41587,             0.22478,             0.21763,             0.11169,            0.057631,            0.017123,            0.047712,             0.00307,             0.00307,             0.00307
                  79,             0.04408,            0.028014,            0.017754,             0.48403,             0.23945,             0.21257,            0.076804,            0.057338,            0.016547,            0.038226,             0.00298,             0.00298,             0.00298
                  80,            0.041027,            0.025781,            0.022788,             0.63637,             0.22975,             0.24531,             0.11288,            0.056695,            0.017877,            0.034104,             0.00289,             0.00289,             0.00289
                  81,            0.041303,            0.027327,            0.017056,             0.57518,             0.21229,             0.21197,             0.10099,            0.057999,            0.018254,            0.038085,              0.0028,              0.0028,              0.0028
                  82,            0.041768,            0.028223,            0.017742,             0.52491,              0.2319,             0.23192,             0.10547,            0.053289,            0.017974,            0.037766,             0.00271,             0.00271,             0.00271
                  83,            0.041676,            0.027411,            0.020183,             0.52097,             0.18704,             0.21873,             0.10352,            0.054939,            0.018002,             0.03666,             0.00262,             0.00262,             0.00262
                  84,            0.039416,            0.024399,            0.016185,             0.42581,             0.19039,              0.1874,            0.087238,            0.060939,            0.017984,            0.042012,             0.00253,             0.00253,             0.00253
                  85,            0.041347,            0.026921,             0.01481,             0.62257,             0.19583,             0.22683,             0.12313,             0.06033,            0.018228,            0.041588,             0.00244,             0.00244,             0.00244
                  86,            0.040457,             0.02579,            0.015573,             0.52149,             0.25725,             0.23972,             0.10248,            0.056447,            0.018323,            0.039119,             0.00235,             0.00235,             0.00235
                  87,            0.040543,            0.027577,            0.014758,             0.47631,              0.2656,             0.24067,             0.10797,            0.058913,            0.017268,            0.039309,             0.00226,             0.00226,             0.00226
                  88,            0.042567,            0.025836,             0.01883,             0.54788,             0.23337,             0.26256,             0.12404,            0.055519,            0.019124,            0.039453,             0.00217,             0.00217,             0.00217
                  89,            0.041563,            0.028754,            0.019262,             0.57167,             0.23005,             0.23319,            0.099634,            0.059025,            0.017707,            0.041968,             0.00208,             0.00208,             0.00208
                  90,            0.040064,            0.027201,            0.015667,             0.64415,             0.22963,             0.24932,             0.10399,             0.05743,            0.017344,            0.033221,             0.00199,             0.00199,             0.00199
                  91,            0.039006,            0.027034,            0.017067,              0.5022,             0.27023,             0.23419,             0.10643,            0.058739,            0.016933,            0.037596,              0.0019,              0.0019,              0.0019
                  92,            0.039327,            0.025938,            0.018551,             0.60746,             0.25422,             0.26532,             0.13083,            0.058363,            0.016886,             0.04033,             0.00181,             0.00181,             0.00181
                  93,            0.038219,            0.024814,            0.012798,             0.62616,             0.24298,             0.25929,              0.1153,            0.056742,            0.017372,            0.037157,             0.00172,             0.00172,             0.00172
                  94,             0.03868,            0.026321,              0.0134,             0.58988,             0.22847,              0.2599,             0.12019,            0.057233,            0.017316,            0.036216,             0.00163,             0.00163,             0.00163
                  95,            0.038345,            0.026462,            0.016407,             0.50438,             0.22897,             0.24925,             0.12911,            0.054753,            0.018433,            0.038344,             0.00154,             0.00154,             0.00154
                  96,            0.038286,            0.025126,            0.017872,             0.61659,             0.20959,             0.23906,             0.11246,            0.056226,            0.018938,            0.036892,             0.00145,             0.00145,             0.00145
                  97,            0.038669,            0.027318,            0.016807,             0.64339,             0.20343,             0.23502,            0.092656,            0.056629,             0.01931,            0.036943,             0.00136,             0.00136,             0.00136
                  98,            0.039437,            0.024547,            0.013088,             0.53114,             0.28056,             0.27242,             0.12156,            0.057431,             0.01789,            0.034394,             0.00127,             0.00127,             0.00127
                  99,            0.039677,            0.024366,            0.012525,             0.52376,             0.25249,              0.2657,             0.13373,            0.056476,            0.018099,             0.03508,             0.00118,             0.00118,             0.00118
